constraint_catalog                      constraint_schema                       constraint_name                         table_catalog                           table_schema                            table_name                              column_name                             ordinal_position                        KeyType                                 index_name                              
TestSite                                dbo                                     IX_PE_CollectionHistory_ItemID          TestSite                                dbo                                     PE_CollectionHistory                    ItemID                                  1                                       56                                      IX_PE_CollectionHistory_ItemID          
TestSite                                dbo                                     IX_PE_CollectionHistory_ModelID         TestSite                                dbo                                     PE_CollectionHistory                    ModelID                                 1                                       56                                      IX_PE_CollectionHistory_ModelID         
TestSite                                dbo                                     IX_PE_CollectionHistory_NodeID          TestSite                                dbo                                     PE_CollectionHistory                    NodeID                                  1                                       56                                      IX_PE_CollectionHistory_NodeID          
TestSite                                dbo                                     PK_PE_CollectionHistory                 TestSite                                dbo                                     PE_CollectionHistory                    HistoryID                               1                                       56                                      PK_PE_CollectionHistory                 
TestSite                                dbo                                     PK_PE_CollectionItem                    TestSite                                dbo                                     PE_CollectionItem                       ItemID                                  1                                       56                                      PK_PE_CollectionItem                    
TestSite                                dbo                                     PK_PE_CollectionPagingRules             TestSite                                dbo                                     PE_CollectionPagingRules                PagingRuleID                            1                                       56                                      PK_PE_CollectionPagingRules             
TestSite                                dbo                                     IX_PE_Comment_GeneralID                 TestSite                                dbo                                     PE_Comment                              GeneralID                               1                                       56                                      IX_PE_Comment_GeneralID                 
TestSite                                dbo                                     IX_PE_Comment_NodeID                    TestSite                                dbo                                     PE_Comment                              NodeID                                  1                                       56                                      IX_PE_Comment_NodeID                    
TestSite                                dbo                                     PK_PE_Comment_CommentID                 TestSite                                dbo                                     PE_Comment                              CommentID                               1                                       56                                      PK_PE_Comment_CommentID                 
TestSite                                dbo                                     IX_PE_CommentPK_CommentID               TestSite                                dbo                                     PE_CommentPK                            CommentID                               1                                       56                                      IX_PE_CommentPK_CommentID               
TestSite                                dbo                                     PK_PE_CommentPK_PKID                    TestSite                                dbo                                     PE_CommentPK                            PKID                                    1                                       56                                      PK_PE_CommentPK_PKID                    
TestSite                                dbo                                     IX_PE_CommonModel_EliteLevel            TestSite                                dbo                                     PE_CommonModel                          EliteLevel                              1                                       56                                      IX_PE_CommonModel_EliteLevel            
TestSite                                dbo                                     IX_PE_CommonModel_ItemID                TestSite                                dbo                                     PE_CommonModel                          ItemID                                  1                                       56                                      IX_PE_CommonModel_ItemID                
TestSite                                dbo                                     IX_PE_CommonModel_Priority              TestSite                                dbo                                     PE_CommonModel                          Priority                                1                                       56                                      IX_PE_CommonModel_Priority              
TestSite                                dbo                                     IX_PE_CommonModel_TitleHashKey          TestSite                                dbo                                     PE_CommonModel                          TitleHashKey                            1                                       106                                     IX_PE_CommonModel_TitleHashKey          
TestSite                                dbo                                     IX_PE_CommonModel_UpdateTime            TestSite                                dbo                                     PE_CommonModel                          UpdateTime                              1                                       61                                      IX_PE_CommonModel_UpdateTime            
TestSite                                dbo                                     PK_PE_CommonModel_GeneralID             TestSite                                dbo                                     PE_CommonModel                          GeneralID                               1                                       56                                      PK_PE_CommonModel_GeneralID             
TestSite                                dbo                                     IX_PE_CommonProduct_AlarmNum            TestSite                                dbo                                     PE_CommonProduct                        AlarmNum                                1                                       56                                      IX_PE_CommonProduct_AlarmNum            
TestSite                                dbo                                     IX_PE_CommonProduct_Keyword             TestSite                                dbo                                     PE_CommonProduct                        Keyword                                 1                                       231                                     IX_PE_CommonProduct_Keyword             
TestSite                                dbo                                     IX_PE_CommonProduct_LimitNum            TestSite                                dbo                                     PE_CommonProduct                        LimitNum                                1                                       56                                      IX_PE_CommonProduct_LimitNum            
TestSite                                dbo                                     IX_PE_CommonProduct_OrderNum            TestSite                                dbo                                     PE_CommonProduct                        OrderNum                                1                                       56                                      IX_PE_CommonProduct_OrderNum            
TestSite                                dbo                                     IX_PE_CommonProduct_PresentID           TestSite                                dbo                                     PE_CommonProduct                        PresentID                               1                                       56                                      IX_PE_CommonProduct_PresentID           
TestSite                                dbo                                     IX_PE_CommonProduct_ProducerName        TestSite                                dbo                                     PE_CommonProduct                        ProducerName                            1                                       231                                     IX_PE_CommonProduct_ProducerName        
