TABLE_CATALOG                           TABLE_SCHEMA                            TABLE_NAME                              TABLE_TYPE                              
TestSite                                dbo                                     PE_InfoNextProcessRoles                 BASE TABLE                              
TestSite                                dbo                                     PE_StatIpInfo                           BASE TABLE                              
TestSite                                dbo                                     PE_InvoiceItem                          BASE TABLE                              
TestSite                                dbo                                     PE_U_Computer                           BASE TABLE                              
TestSite                                dbo                                     V_Admin_AdminRole                       VIEW                                    
TestSite                                dbo                                     PE_StatKeyword                          BASE TABLE                              
TestSite                                dbo                                     PE_Comment                              BASE TABLE                              
TestSite                                dbo                                     PE_KeywordRelationShip                  BASE TABLE                              
TestSite                                dbo                                     PE_StatMonth                            BASE TABLE                              
TestSite                                dbo                                     PE_Keywords                             BASE TABLE                              
TestSite                                dbo                                     PE_U_Cosmetic                           BASE TABLE                              
TestSite                                dbo                                     PE_StatMozilla                          BASE TABLE                              
TestSite                                dbo                                     PE_Log                                  BASE TABLE                              
TestSite                                dbo                                     PE_CommentPK                            BASE TABLE                              
TestSite                                dbo                                     PE_StatOnline                           BASE TABLE                              
TestSite                                dbo                                     PE_MailList                             BASE TABLE                              
TestSite                                dbo                                     PE_U_FriendSite                         BASE TABLE                              
TestSite                                dbo                                     PE_StatRefer                            BASE TABLE                              
TestSite                                dbo                                     PE_MailList_SubscriptionItem            BASE TABLE                              
TestSite                                dbo                                     PE_CommonModel                          BASE TABLE                              
TestSite                                dbo                                     PE_Message                              BASE TABLE                              
TestSite                                dbo                                     PE_StatScreen                           BASE TABLE                              
TestSite                                dbo                                     PE_ModelTemplates                       BASE TABLE                              
TestSite                                dbo                                     PE_U_GuestBook                          BASE TABLE                              
TestSite                                dbo                                     PE_StatTimezone                         BASE TABLE                              
TestSite                                dbo                                     PE_Model                                BASE TABLE                              
TestSite                                dbo                                     PE_CommonProduct                        BASE TABLE                              
TestSite                                dbo                                     PE_Address                              BASE TABLE                              
TestSite                                dbo                                     PE_Mood                                 BASE TABLE                              
TestSite                                dbo                                     PE_U_Mobile                             BASE TABLE                              
TestSite                                dbo                                     PE_Status                               BASE TABLE                              
TestSite                                dbo                                     PE_Company                              BASE TABLE                              
TestSite                                dbo                                     PE_Admin                                BASE TABLE                              
TestSite                                dbo                                     PE_MoodScheme                           BASE TABLE                              
TestSite                                dbo                                     PE_StatVisit                            BASE TABLE                              
TestSite                                dbo                                     PE_Nodes                                BASE TABLE                              
TestSite                                dbo                                     PE_U_OrderText                          BASE TABLE                              
TestSite                                dbo                                     PE_Admin_Roles                          BASE TABLE                              
TestSite                                dbo                                     PE_Nodes_Model_Template                 BASE TABLE                              
TestSite                                dbo                                     PE_ComplainItem                         BASE TABLE                              
TestSite                                dbo                                     PE_StatVisitor                          BASE TABLE                              
TestSite                                dbo                                     PE_U_Photo                              BASE TABLE                              
TestSite                                dbo                                     PE_Nodes_Template                       BASE TABLE                              
TestSite                                dbo                                     PE_AdminProfile                         BASE TABLE                              
TestSite                                dbo                                     PE_Contacter                            BASE TABLE                              
TestSite                                dbo                                     PE_OrderFeedback                        BASE TABLE                              
TestSite                                dbo                                     PE_StatSystem                           BASE TABLE                              
TestSite                                dbo                                     PE_OrderHistory                         BASE TABLE                              
TestSite                                dbo                                     PE_U_PortableComputer                   BASE TABLE                              
TestSite                                dbo                                     PE_StatWeburl                           BASE TABLE                              
TestSite                                dbo                                     PE_OrderHistoryItem                     BASE TABLE                              
TestSite                                dbo                                     PE_ContentCharge                        BASE TABLE                              
TestSite                                dbo                                     PE_AdminShortCutContent                 BASE TABLE                              
TestSite                                dbo                                     PE_OrderItem                            BASE TABLE                              
TestSite                                dbo                                     PE_U_Product                            BASE TABLE                              
TestSite                                dbo                                     PE_Orders                               BASE TABLE                              
TestSite                                dbo                                     PE_ContentPermission                    BASE TABLE                              
TestSite                                dbo                                     PE_OutOfStockLog                        BASE TABLE                              
TestSite                                dbo                                     PE_U_RedirectLink                       BASE TABLE                              
TestSite                                dbo                                     PE_Package                              BASE TABLE                              
TestSite                                dbo                                     PE_CorrelativeItems                     BASE TABLE                              
TestSite                                dbo                                     PE_PaymentLog                           BASE TABLE                              
TestSite                                dbo                                     PE_U_Soft                               BASE TABLE                              
TestSite                                dbo                                     PE_PaymentType                          BASE TABLE                              
TestSite                                dbo                                     PE_Coupon                               BASE TABLE                              
TestSite                                dbo                                     PE_PM_CommissionDetail                  BASE TABLE                              
TestSite                                dbo                                     PE_UserExpLog                           BASE TABLE                              
TestSite                                dbo                                     PE_Courier                              BASE TABLE                              
TestSite                                dbo                                     PE_PM_GatheringDetail                   BASE TABLE                              
TestSite                                dbo                                     PE_U_UserText                           BASE TABLE                              
TestSite                                dbo                                     PE_PayPlatForm                          BASE TABLE                              
TestSite                                dbo                                     PE_CouponItem                           BASE TABLE                              
TestSite                                dbo                                     PE_PM_Promotion                         BASE TABLE                              
TestSite                                dbo                                     PE_PM_PromotionOrder                    BASE TABLE                              
TestSite                                dbo                                     PE_DeliverCharge                        BASE TABLE                              
TestSite                                dbo                                     PE_PM_RegisterPromotion                 BASE TABLE                              
TestSite                                dbo                                     PE_UserGroups                           BASE TABLE                              
TestSite                                dbo                                     PE_PM_UserAccount                       BASE TABLE                              
TestSite                                dbo                                     PE_StatWeek                             BASE TABLE                              
TestSite                                dbo                                     PE_DeliverItem                          BASE TABLE                              
TestSite                                dbo                                     PE_PointLog                             BASE TABLE                              
TestSite                                dbo                                     PE_Advertisement                        BASE TABLE                              
TestSite                                dbo                                     PE_Present                              BASE TABLE                              
TestSite                                dbo                                     PE_Users                                BASE TABLE                              
TestSite                                dbo                                     PE_StatYear                             BASE TABLE                              
